Series ID,Year,Period,Label,Value
LAUCN120010000000003,2015,M12,2015 Dec,4.2
LAUCN120010000000003,2016,M01,2016 Jan,4.5
LAUCN120010000000003,2016,M02,2016 Feb,4
LAUCN120010000000003,2016,M03,2016 Mar,4
LAUCN120010000000003,2016,M04,2016 Apr,3.9
LAUCN120010000000003,2016,M05,2016 May,4
LAUCN120010000000003,2016,M06,2016 Jun,4.8
LAUCN120010000000003,2016,M07,2016 Jul,4.7
LAUCN120010000000003,2016,M08,2016 Aug,4.6
LAUCN120010000000003,2016,M09,2016 Sep,4.4
LAUCN120010000000003,2016,M10,2016 Oct,4.2
LAUCN120010000000003,2016,M11,2016 Nov,4.1
LAUCN120010000000003,2016,M12,2016 Dec,4
LAUCN120010000000003,2017,M01,2017 Jan,4.5
LAUCN120010000000003,2017,M02,2017 Feb,3.9
LAUCN120010000000003,2017,M03,2017 Mar,3.7
LAUCN120010000000003,2017,M04,2017 Apr,3.5
LAUCN120010000000003,2017,M05,2017 May,3.6
LAUCN120010000000003,2017,M06,2017 Jun,4.2
LAUCN120010000000003,2017,M07,2017 Jul,4.1
LAUCN120010000000003,2017,M08,2017 Aug,4
LAUCN120010000000003,2017,M09,2017 Sep,3.7
LAUCN120010000000003,2017,M10,2017 Oct,3.5
LAUCN120010000000003,2017,M11,2017 Nov,3.8
LAUCN120010000000003,2017,M12,2017 Dec,3.5
LAUCN120010000000003,2018,M01,2018 Jan,3.9
LAUCN120010000000003,2018,M02,2018 Feb,3.5
LAUCN120010000000003,2018,M03,2018 Mar,3.3
LAUCN120010000000003,2018,M04,2018 Apr,3.2
LAUCN120010000000003,2018,M05,2018 May,3.1
LAUCN120010000000003,2018,M06,2018 Jun,3.7
LAUCN120010000000003,2018,M07,2018 Jul,3.5
LAUCN120010000000003,2018,M08,2018 Aug,3.3
LAUCN120010000000003,2018,M09,2018 Sep,3
LAUCN120010000000003,2018,M10,2018 Oct,3.1
LAUCN120010000000003,2018,M11,2018 Nov,3.1
LAUCN120010000000003,2018,M12,2018 Dec,3.1
LAUCN120030000000003,2000,M01,2000 Jan,3.1
LAUCN120030000000003,2000,M02,2000 Feb,3
LAUCN120030000000003,2000,M03,2000 Mar,2.8
LAUCN120030000000003,2000,M04,2000 Apr,2.7
LAUCN120030000000003,2000,M05,2000 May,2.9
LAUCN120030000000003,2000,M06,2000 Jun,3.4
LAUCN120030000000003,2000,M07,2000 Jul,3.3
LAUCN120030000000003,2000,M08,2000 Aug,3.3
LAUCN120030000000003,2000,M09,2000 Sep,3.2
LAUCN120030000000003,2000,M10,2000 Oct,2.9
LAUCN120030000000003,2000,M11,2000 Nov,2.8
LAUCN120030000000003,2000,M12,2000 Dec,2.7
LAUCN120030000000003,2001,M01,2001 Jan,3.9
LAUCN120030000000003,2001,M02,2001 Feb,3.5
LAUCN120030000000003,2001,M03,2001 Mar,3.7
LAUCN120030000000003,2001,M04,2001 Apr,3.9
LAUCN120030000000003,2001,M05,2001 May,3.7
LAUCN120030000000003,2001,M06,2001 Jun,3.9
LAUCN120030000000003,2001,M07,2001 Jul,3.8
LAUCN120030000000003,2001,M08,2001 Aug,4.2
LAUCN120030000000003,2001,M09,2001 Sep,4.2
LAUCN120030000000003,2001,M10,2001 Oct,5.1
LAUCN120030000000003,2001,M11,2001 Nov,5.3
LAUCN120030000000003,2001,M12,2001 Dec,5.3
LAUCN120030000000003,2002,M01,2002 Jan,5.5
LAUCN120030000000003,2002,M02,2002 Feb,4.9
LAUCN120030000000003,2002,M03,2002 Mar,4.5
LAUCN120030000000003,2002,M04,2002 Apr,4.8
LAUCN120030000000003,2002,M05,2002 May,4.4
LAUCN120030000000003,2002,M06,2002 Jun,4.9
LAUCN120030000000003,2002,M07,2002 Jul,4.9
LAUCN120030000000003,2002,M08,2002 Aug,4.9
LAUCN120030000000003,2002,M09,2002 Sep,4.7
LAUCN120030000000003,2002,M10,2002 Oct,4.8
LAUCN120030000000003,2002,M11,2002 Nov,4.8
LAUCN120030000000003,2002,M12,2002 Dec,4.5
LAUCN120030000000003,2003,M01,2003 Jan,5.1
LAUCN120030000000003,2003,M02,2003 Feb,4.9
LAUCN120030000000003,2003,M03,2003 Mar,4.9
LAUCN120030000000003,2003,M04,2003 Apr,4.6
LAUCN120030000000003,2003,M05,2003 May,4.5
LAUCN120030000000003,2003,M06,2003 Jun,5.3
LAUCN120030000000003,2003,M07,2003 Jul,4.8
LAUCN120030000000003,2003,M08,2003 Aug,5.1
LAUCN120030000000003,2003,M09,2003 Sep,5
LAUCN120030000000003,2003,M10,2003 Oct,4.7
LAUCN120030000000003,2003,M11,2003 Nov,4.7
LAUCN120030000000003,2003,M12,2003 Dec,4.4
